userId,LIKE_0,DISLIKE_0,LIKE_1,DISLIKE_1,LIKE_2,DISLIKE_2,LIKE_3,DISLIKE_3,LIKE_4,DISLIKE_4,LIKE_5,DISLIKE_5,LIKE_6,DISLIKE_6,LIKE_7,DISLIKE_7,LIKE_8,DISLIKE_8,LIKE_9,DISLIKE_9,LIKE_10,DISLIKE_10,LIKE_11,DISLIKE_11,LIKE_12,DISLIKE_12,LIKE_13,DISLIKE_13,LIKE_14,DISLIKE_14,LIKE_15,DISLIKE_15,LIKE_16,DISLIKE_16,LIKE_17,DISLIKE_17,LIKE_18,DISLIKE_18,LIKE_19,DISLIKE_19
47,2885,1949,1949,748,2175,2302,3391,615,3173,2885,2410,2175,2302,3296,1920,578,1463,3173,2715,3120,213,1006,274,79,3330,2371,118,3482,3156,2257,1754,3541,289,2383,936,503,2177,2088,2618,349
48,1949,1853,615,325,748,349,1853,3120,503,67,1920,1010,1939,1949,3482,2344,2314,3541,894,2175,325,1925,3069,3330,3429,2648,1010,796,420,1035,213,748,1447,894,2410,936,596,1350,2177,3448
49,1949,1010,748,1853,325,1949,615,1374,2371,1560,894,1563,1010,2222,2302,877,349,54,213,215,274,693,2885,2654,2111,2026,610,1146,3546,3576,1039,2371,2398,1439,2552,796,1853,3270,2410,503
50,1853,615,615,3482,1010,1949,2177,2717,2885,118,2410,2398,325,1010,2302,2885,3482,274,503,936,3173,2618,936,894,2111,2048,274,1560,971,325,349,2257,682,2654,118,320,2371,1853,2717,1377
51,2885,894,2177,2302,682,2177,118,2410,503,274,748,936,3448,615,3482,3182,421,1949,2410,2885,2302,420,3391,213,1853,503,1035,3482,1010,1447,2717,3391,349,233,3342,3435,2695,862,32,2432
52,2885,848,2302,1010,3391,371,2410,2111,1120,3044,848,2885,2177,3391,1010,2177,2111,2654,3044,181,301,2371,3448,420,2257,610,2648,1549,3173,2398,3201,2426,181,67,371,1853,682,2717,1035,2659
53,1853,420,2302,2302,2177,2885,325,1920,2371,1549,349,2695,3391,787,2410,2290,936,326,1010,615,2885,2717,1035,3482,274,646,1006,118,3546,1946,118,3206,1350,949,1592,1187,610,3218,3482,737
54,936,2885,3482,1949,325,2302,1949,3173,118,213,349,421,503,118,3180,2410,2302,2618,3296,615,1010,3180,826,3391,2177,1010,3182,737,320,3182,748,1394,615,894,2095,518,2111,309,2175,3275
55,2470,2177,2885,1920,2175,1616,3330,2885,3173,2175,2257,3514,239,274,2302,3173,2177,14,848,1543,274,2498,3137,2302,243,2715,3391,2410,1231,3137,1592,2642,247,936,946,1949,2715,2241,3044,796
56,615,325,936,615,2302,2717,2717,2177,118,3482,325,2410,2177,1853,349,1010,3120,826,3482,349,2344,2816,481,682,578,971,2885,118,3187,894,2410,2111,2618,936,3448,1006,3117,862,274,2390
57,1010,1853,1853,1010,3173,615,325,325,2885,2717,682,2371,274,2398,2410,3173,796,274,3482,1949,2177,936,936,3482,118,610,349,118,2302,2175,848,848,1006,1439,2111,2314,14,2654,2371,420
58,2618,1949,2257,615,349,3482,2177,1828,289,349,1949,2885,2302,1010,3391,1121,3482,748,2175,503,118,1350,3173,2371,936,3136,181,3448,748,936,1010,1644,3330,2177,2692,1447,1920,3514,421,2836
59,2302,1949,349,2257,2177,349,936,3482,325,2618,118,118,1949,2177,3482,2175,2885,181,2618,2302,3391,1010,2410,3173,1006,936,3120,289,1010,3330,2111,3391,848,1853,2257,2885,1920,3180,2175,325
60,181,181,3391,3173,2302,2302,1949,118,2885,1949,2618,936,118,3482,3173,2111,274,610,2257,239,777,578,2836,2257,421,349,239,1010,1121,3180,848,325,2371,3391,1920,2648,349,1463,2177,777
61,1949,1010,3482,1949,349,1853,1853,2175,1010,3173,2371,2371,325,325,610,349,2302,1374,118,118,2111,1560,848,274,2618,610,3173,1684,2717,3482,2885,2654,2257,2344,936,2111,3180,1268,67,1592
62,503,1010,2177,1853,3173,615,2885,3173,936,936,615,3482,2302,274,2410,2398,274,848,2175,325,14,2885,2111,349,3482,2111,349,2371,682,2410,1853,1006,1010,682,3391,2175,118,1146,3120,1374
63,1010,1010,1853,1549,67,2371,2175,1377,2371,1853,2398,2175,1549,1684,3091,2410,1947,2426,2410,2672,2885,3495,1377,2398,814,1592,1324,848,543,2715,633,67,1039,353,1684,349,641,1892,1849,3366
64,2177,2717,3482,3482,615,894,2302,274,2717,3546,349,2111,936,3183,2410,2177,1853,1010,118,2175,2715,615,2111,2715,3448,420,3187,3117,274,1853,2344,2410,682,3330,971,3066,1920,971,3391,2445
65,615,3482,3066,615,274,2672,3308,2885,1700,2175,320,3366,2511,213,3482,800,3117,503,503,2302,894,3514,2445,1798,2398,1969,2937,682,2344,169,2177,1010,1321,274,1350,241,3366,2344,3183,2816
66,1010,1010,1853,1853,325,1949,2371,3482,1949,610,615,325,2816,615,2410,1439,274,349,349,118,3482,936,3296,2398,2885,894,3173,633,894,2717,2654,2371,2717,2302,1560,2885,2175,2175,2618,848
67,3482,1949,2344,3482,349,349,610,610,118,641,641,1853,615,615,2717,118,633,633,1949,1010,2420,848,2302,2717,936,2114,2111,2420,848,2111,3180,1095,67,325,3046,3180,2371,181,2705,67
68,2177,2885,2410,2177,936,274,3482,2302,2885,2410,349,615,2432,971,1920,2717,371,2175,274,1321,2715,2642,2302,3391,2111,936,1010,2111,1853,2371,848,2715,971,3120,3391,1858,3120,682,3156,1920
69,2177,615,936,3482,3482,3117,615,936,325,2654,349,627,118,894,2302,1949,2885,503,503,2717,2410,320,2111,118,1920,682,274,2109,3120,1010,2717,325,2241,274,2175,3066,1006,1853,894,421
70,2177,3482,2302,615,936,1949,349,936,3391,2302,2885,349,2410,118,118,325,2618,1010,325,1853,1949,2717,274,2177,1010,274,3514,894,3482,2885,615,2111,503,2618,1006,748,1920,503,682,2410
71,2302,615,615,3482,2177,118,3391,2344,936,1853,2717,1010,3482,349,2885,2177,2410,2410,1853,2302,2715,3187,3187,2371,2618,1976,1010,826,349,3366,274,2717,503,325,3448,1592,1949,1374,2344,1006
72,1949,1949,349,3173,3482,1010,2618,1853,2885,2175,118,181,2302,2371,1010,3482,2257,421,2177,349,936,2257,325,615,3173,325,3391,118,1853,3330,289,894,2371,3180,181,274,3180,3117,2111,936
73,1949,1949,2885,3173,1920,748,213,615,2410,1006,2177,2717,777,2695,2175,3448,349,1377,936,2398,325,562,421,894,1035,228,2432,1517,2302,1853,118,1010,503,826,894,349,1754,1491,848,682
74,615,1949,1010,748,1006,615,503,503,748,325,1949,894,894,3482,213,3180,421,1447,54,2717,1853,848,877,627,2302,349,2943,2175,3275,2302,2088,578,2398,199,309,3117,241,2111,1159,2885
75,349,615,2177,3482,2302,2371,1949,1853,3482,2175,3391,274,2885,1949,2618,1010,2371,2410,118,2885,936,2302,2410,3173,615,3391,2175,421,2111,2111,289,2398,325,894,1447,118,894,3330,848,936
76,1853,2175,1010,3330,796,2111,2177,2432,3482,320,1708,2717,274,848,2410,1920,118,3173,936,2344,2241,2642,777,274,682,421,2111,936,371,3044,2175,2885,325,3482,1006,779,971,2630,2885,2883
77,1949,1949,3482,610,641,349,633,67,1010,1010,547,2175,2717,748,826,3482,349,615,2390,2302,2344,2344,1482,3296,748,2705,3117,503,615,1853,610,2371,3410,641,118,633,2371,2114,1830,118
78,1853,2175,2111,3482,2885,3330,3482,615,274,2111,1010,118,118,503,2371,2717,325,3183,349,1350,2175,1853,2410,301,2177,3173,682,2177,2302,2410,2715,2642,641,971,848,894,3183,3546,2816,3120
79,1949,1949,325,503,3482,936,1853,1401,1010,1697,2177,1853,748,2371,2302,325,615,1010,1006,2175,796,1925,1543,54,1920,3296,213,2837,893,1118,894,84,503,615,1768,213,2952,1591,3120,2659
80,615,1949,1949,3173,503,1010,936,1853,3173,615,3482,3482,213,325,894,421,2177,2654,325,3180,1006,2175,349,349,118,936,2885,2885,2410,503,1350,2717,2302,118,1853,320,682,2371,3120,894
81,894,3173,1768,3461,3182,213,274,503,1543,615,420,349,233,2177,2354,936,213,3482,862,1949,2302,2302,2177,1920,503,2885,349,3187,2265,3367,2637,479,2410,118,1858,14,1010,3330,936,3206
82,2177,2302,2885,2177,118,274,3137,2885,3173,118,2715,2410,2410,3391,1920,325,2302,3173,2672,349,1592,2111,371,3482,2470,2618,1853,503,1010,3120,349,2371,3514,1006,2290,1010,848,1853,2648,615
83,1949,1949,2175,3173,2257,3180,2885,3482,1226,3117,578,181,2371,3330,214,1377,3400,2302,2177,2885,2618,2175,349,2717,1010,503,3482,2130,3173,2371,894,1463,611,1010,1946,615,3366,1481,274,3183
84,274,2885,2177,274,2885,2410,1920,3482,3514,3173,2302,936,2432,2111,2410,2177,3391,2302,848,848,3044,2371,3173,2175,118,3391,3482,615,2111,1853,936,118,2175,325,2241,1920,3330,1010,737,3044
85,1949,1949,2371,1010,1377,2371,1010,1853,2175,325,3296,3296,2885,2410,3330,748,1853,796,1592,1324,386,2885,1920,1374,3173,2654,3495,1401,3498,615,1616,2398,274,1377,936,349,1229,877,349,1560
86,1949,1949,349,349,3482,181,118,1010,2177,3482,1010,3117,615,1853,936,2717,2618,610,2302,627,1853,615,325,2344,777,936,181,325,3173,3330,3546,2175,289,2654,3180,992,748,698,2410,578
87,3117,1337,3482,3117,698,2398,2177,1851,936,3183,1337,126,1949,2357,615,1146,320,1528,627,481,992,3278,894,2717,1853,3217,1350,1570,2390,615,3448,3235,118,274,2717,3374,933,3044,349,3482
88,3482,627,1920,1949,2410,428,615,2578,2578,1450,2839,2833,1543,2821,2111,894,214,2654,3206,459,2175,1785,2642,1582,2241,46,3173,238,682,3094,894,891,2314,1565,936,2213,1983,607,421,3135
89,2302,1949,349,3482,3391,615,2177,1853,2618,1010,2885,936,936,118,1949,2111,118,2175,325,2371,3482,349,2257,3173,2410,325,2111,894,274,274,2371,2618,2175,2302,3120,3391,289,3180,1010,2717
90,1949,1949,615,3173,349,2175,1377,3330,610,1560,2371,421,2885,3482,2175,3120,3330,615,3391,2398,274,2717,2111,2109,3120,67,1010,1010,2177,2885,489,2302,748,3296,2695,1463,3482,844,118,774
91,2885,274,274,2885,2302,2302,3391,3482,2175,1853,2177,3391,1798,2371,894,2111,3541,118,2371,3514,3482,1010,3448,2175,201,2398,3044,2410,3514,2177,3120,848,615,3044,2398,3173,3173,2654,503,1592
92,2177,936,936,325,2302,2648,349,2302,3482,3296,325,3482,615,615,2885,503,1949,1006,2618,3120,894,14,118,2111,2410,118,3120,274,1010,578,3391,748,2695,1949,1853,1010,2717,3448,2175,2695
93,1853,1853,1010,1010,3482,3482,610,2410,641,2371,118,2177,2344,274,2371,118,682,848,274,682,2672,2885,2177,936,796,2717,2175,1035,67,971,2816,641,2717,2672,971,3391,2111,325,2410,1560
94,1949,1949,2302,1010,748,1853,2885,325,936,615,894,213,3391,503,349,3296,2410,349,2175,748,2618,1439,3482,2175,503,2371,615,1324,325,2511,2717,2654,848,3404,118,894,3156,3117,1754,627
95,2177,2177,2885,274,3482,3482,274,118,2302,2175,118,3173,349,1920,936,2885,2410,2410,615,615,3391,936,1920,848,2111,2717,2717,2111,3514,3044,1853,2344,3120,3330,2715,1853,848,2432,3173,682
96,615,2177,1853,3482,3482,118,2177,2410,3066,2302,2445,936,3117,2717,3308,274,2511,615,1010,2344,2717,848,682,2111,3448,2175,274,3206,3183,3391,2398,2290,641,682,118,1010,1549,1853,1700,3448
97,1010,1949,1853,936,615,2302,320,3391,3482,2618,325,848,1949,615,2371,349,349,3173,596,503,213,2371,2344,118,2111,3482,3180,1853,2410,325,3296,2111,181,578,421,2885,936,2177,274,2257
98,2371,2371,1853,1010,3482,1684,1010,1853,67,582,848,2885,2175,848,610,1697,641,1592,2705,2175,2111,1377,118,1791,3330,2672,633,3498,3046,349,1849,2717,1684,274,1592,2654,349,325,2816,3091
99,2177,2177,2885,936,349,349,2302,3482,2618,1920,325,118,2410,2885,1592,2618,1010,2410,1853,2302,3391,2111,289,274,14,3546,2257,748,1768,3391,3120,325,936,2432,1920,289,274,2175,3137,2241
100,2302,1949,3173,3173,2885,1010,1949,615,2175,894,3391,2383,274,1853,936,3117,349,2717,1920,1288,2715,349,3296,2885,118,936,2371,627,2410,1401,1463,1924,2695,933,2177,2410,2618,1754,3482,3448
101,2885,2177,2177,274,274,2398,2302,2885,2410,2302,2175,2111,3482,2410,2371,2371,1920,1853,3120,1010,3044,936,1592,3391,936,325,894,3482,503,2715,118,118,3391,615,2398,3044,682,2175,2111,3173
102,2257,1949,349,3482,1949,1010,2618,1853,2302,2371,2371,3173,181,118,3391,349,1010,2257,118,543,2175,2885,289,2344,1853,67,2885,633,3173,2705,2177,610,325,2410,3180,2618,2111,2302,3482,615
103,1949,1949,503,615,936,748,2885,213,2302,1447,748,503,3482,1920,894,2654,615,2410,3173,596,3391,421,1920,2766,2717,1616,2177,607,1754,2511,2618,894,2175,578,349,1754,2208,3031,682,1768
104,2177,107,3482,3308,936,3079,349,2355,615,1853,2302,169,2410,1096,2717,2937,503,1010,894,361,1853,615,1949,1268,2111,2789,1350,2107,118,1326,2885,723,3156,2475,325,375,274,2398,2618,863
105,1949,1949,1853,2885,1010,3296,604,3173,1920,1377,213,1592,1939,1560,2410,1288,596,2371,2177,1010,421,1920,2766,2536,1622,2410,3275,118,270,2298,615,3460,748,2432,1616,2302,3066,2175,1035,2290
106,1949,1949,2885,3173,349,2371,503,353,325,970,3296,1377,3173,978,615,118,1853,2175,1616,2537,1010,2261,1920,1255,894,67,2371,1745,213,2654,2175,768,2715,1631,67,3576,3482,478,2695,3299
107,2410,2302,2885,3173,2302,2885,3173,118,796,2410,2177,2177,325,2175,1853,274,936,796,274,1010,848,325,1006,936,1616,2257,118,2371,2175,349,503,2672,349,3391,1010,1920,3391,1853,2111,2111
108,615,3066,3482,1853,2177,2177,274,2445,503,848,3120,615,2642,2111,2885,3482,2410,3091,936,1920,2717,2695,2445,118,3066,3117,2432,2175,894,877,2398,2410,1969,3156,682,421,2344,2511,2111,1700
109,2177,2177,349,2257,2885,2302,2302,2885,936,3044,3482,3391,1920,349,274,2618,118,118,2618,289,2410,239,3391,1920,2111,2410,615,274,503,2175,325,3482,3120,1949,289,936,1949,2692,748,269
110,2177,2302,349,2177,2302,2885,3482,325,936,1120,2885,1010,615,1745,325,2290,3391,274,2618,2111,118,1006,2410,2344,274,1845,420,2552,503,1853,1006,2371,2175,2058,2717,578,748,1592,1949,2410
111,2717,615,2177,349,936,1920,349,2177,2302,2410,3482,2302,615,936,325,325,1853,3120,1010,971,3448,3187,2058,1006,2344,777,2816,2241,682,2034,971,2715,748,1350,3120,214,1006,2111,826,1455
112,2177,1949,1949,3173,349,3482,936,118,3482,615,2885,936,1920,2302,2302,2618,2410,503,274,349,2175,421,2618,2177,2642,2410,1006,777,748,3391,3391,2885,3173,748,2715,1010,2695,2695,503,325
113,274,1708,1853,3173,1010,274,2177,2241,2111,1010,503,872,1920,1853,1708,3044,3482,3117,615,3482,2885,615,796,3183,1830,1920,3044,2410,848,3514,201,796,3173,503,3117,1411,3066,118,872,2715
114,1010,1853,1853,1010,3482,615,615,3482,2717,2398,2111,641,2695,2371,2344,67,894,3091,936,2175,971,3066,3546,2816,274,1374,3066,2654,3091,2717,2715,936,2177,2410,2410,682,325,3117,2371,2111
115,2302,1949,578,3514,2177,1543,3391,3275,118,2302,3180,3342,2618,2715,936,848,349,578,3187,181,1949,2516,3201,74,3112,418,3482,798,3069,1136,615,2764,2885,3442,3173,2612,2410,2910,748,368
116,615,615,3482,3482,936,1949,503,748,349,349,2177,936,2618,2177,118,2618,3173,3173,2302,1447,2241,2111,1387,2302,2717,118,320,420,894,1350,1447,2175,1949,320,1010,578,933,3180,3180,1768
117,2371,1010,936,2410,2175,1853,2410,2177,1377,274,1010,2398,2111,325,3330,2885,349,2371,3066,69,1853,1229,2344,233,3495,1745,274,2241,1684,806,325,1006,118,936,2715,971,543,3173,682,1764
118,1949,1949,349,748,936,615,2618,503,3482,1010,503,325,2717,349,2177,2654,2885,1853,615,2371,2302,2175,1830,2302,933,3482,894,894,682,1560,2410,610,848,213,777,848,118,2717,274,2410
119,3391,274,2885,615,2302,1853,3482,3482,615,1010,3044,2111,1798,2302,274,2175,3541,118,894,2371,2642,325,3066,2717,2175,67,2398,610,1853,971,2445,2398,936,2344,2793,2177,578,2885,848,3066
120,1949,181,3482,1949,1010,3173,118,3482,3173,936,349,325,325,2175,2618,3180,2302,1010,615,2371,1853,3117,936,1853,2885,2344,181,610,2371,615,3180,320,3391,2654,2177,2717,2257,2885,274,1337
121,2177,2302,349,118,289,325,2618,2885,2257,2177,1949,1853,1920,848,118,2618,274,3391,748,615,239,2111,3482,349,2692,1592,2410,2257,936,3482,2885,289,3391,274,181,421,3330,1010,2302,2175
122,1949,1949,2885,615,748,1010,2302,1853,3391,503,325,349,1754,894,2410,748,2371,325,503,2410,1768,2371,118,3296,3482,2344,2175,936,274,213,2618,2302,578,3482,3156,2717,908,3046,894,2175
123,1010,1949,1949,615,118,1010,615,1853,936,3173,777,894,1853,325,325,118,503,274,3482,3482,796,503,3296,213,2371,748,3173,2398,1006,2371,826,3180,894,3117,2302,2344,2618,320,2177,992
